country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent,Population,imageUrl,wikiUrl,,,,
Finland,2011,7.354,10.754,0.938,70.64,0.936,0.101,0.32,0.773,0.205,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2012,7.42,10.735,0.928,70.88,0.921,-0.001,0.361,0.796,0.202,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2014,7.385,10.714,0.952,71.36,0.933,-0.001,0.265,0.784,0.199,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2010,7.393,10.734,0.935,70.4,0.916,0.091,0.413,0.832,0.202,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2009,7.55,10.734,0.935,70.4,0.916,0.091,0.413,0.832,0.202,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2019,7.78,10.792,0.937,72,0.948,-0.052,0.195,0.755,0.181,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2018,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2008,7.671,10.796,0.951,70.08,0.934,0.028,0.217,0.773,0.144,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2006,7.672,10.745,0.965,69.76,0.969,-0.005,0.132,0.722,0.172,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2020,7.889,10.75,0.962,72.1,0.962,-0.116,0.164,0.744,0.193,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Iceland,2009,6.95,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2010,7.15,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2011,7.35,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2008,6.888,10.861,0.977,72.32,0.885,0.272,0.708,0.88,0.153,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2014,7.5,10.861,0.977,72.32,0.885,0.272,0.708,0.88,0.153,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2018,7.5,10.861,0.977,72.32,0.885,0.272,0.708,0.88,0.153,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2016,7.51,10.904,0.985,73,0.952,0.281,0.719,0.874,0.158,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2017,7.476,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2020,7.575,10.824,0.983,73,0.949,0.16,0.644,0.863,0.172,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2019,7.533,10.931,0.982,73,0.959,NA,0.699,0.836,0.178,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2015,7.498,10.854,0.98,73,0.94,0.301,0.639,0.849,0.18,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2012,7.591,10.777,0.979,72.76,0.905,0.241,0.759,0.9,0.157,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Iceland,2013,7.501,10.809,0.967,72.84,0.923,0.306,0.713,0.87,0.156,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Switzerland,2020,7.508,11.081,0.946,74.7,0.917,-0.064,0.28,0.769,0.193,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2008,7.473,11.05,0.951,71.54,0.919,0.29,0.408,0.821,0.212,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2009,7.525,11.055,0.938,72.26,0.891,0.125,0.342,0.814,0.202,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2010,7.6,11.055,0.938,72.26,0.891,0.125,0.342,0.814,0.202,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2011,7.7,11.055,0.938,72.26,0.891,0.125,0.342,0.814,0.202,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2012,7.776,11.079,0.947,72.78,0.945,0.139,0.323,0.859,0.176,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2013,7.55,11.079,0.947,72.78,0.945,0.139,0.323,0.859,0.176,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2014,7.493,11.098,0.959,73.06,0.949,0.06,0.283,0.823,0.189,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2018,7.509,11.134,0.93,74.1,0.926,0.101,0.301,0.792,0.192,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2015,7.572,11.1,0.938,73.2,0.928,0.109,0.21,0.809,0.166,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2016,7.459,11.106,0.928,73.5,0.934,0.088,0.302,0.779,0.206,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Switzerland,2019,7.694,11.136,0.949,74.4,0.913,0.036,0.294,0.798,0.171,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Netherlands,2008,7.631,10.899,0.944,71,0.883,0.365,0.419,0.788,0.182,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2009,7.551,10.899,0.944,71,0.883,0.365,0.419,0.788,0.182,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2010,7.502,10.864,0.957,71.4,0.921,0.349,0.399,0.853,0.206,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2013,7.407,10.857,0.925,71.76,0.919,0.305,0.505,0.867,0.235,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2017,7.459,10.921,0.937,72.2,0.92,0.25,0.363,0.852,0.185,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2014,7.321,10.867,0.909,71.88,0.91,0.331,0.457,0.868,0.221,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2012,7.471,10.861,0.939,71.64,0.877,0.288,0.434,0.861,0.226,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2016,7.541,10.899,0.926,72.1,0.907,0.239,0.433,0.838,0.215,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2007,7.452,10.881,0.944,70.8,0.896,0.344,0.445,0.818,0.213,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2020,7.504,10.901,0.944,72.5,0.935,0.151,0.281,0.784,0.247,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2015,7.324,10.882,0.879,72,0.904,0.261,0.412,0.834,0.202,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2011,7.564,10.875,0.938,71.52,0.925,0.336,0.359,0.863,0.181,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2005,7.464,10.814,0.947,70.4,0.901,NA,0.571,0.869,0.233,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2019,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Netherlands,2018,7.463,10.941,0.939,72.3,0.92,0.161,0.371,0.862,0.205,Western Europe,17183247,https://cdn-icons-png.flaticon.com/512/323/323275.png,https://en.wikipedia.org/wiki/Netherlands,,,,
Canada,2011,7.426,10.738,0.922,72.36,0.951,0.253,0.433,0.881,0.248,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2013,7.594,10.757,0.936,72.68,0.916,0.316,0.406,0.851,0.263,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2009,7.488,10.697,0.943,72.02,0.915,0.246,0.413,0.867,0.248,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2012,7.415,10.744,0.948,72.52,0.918,0.29,0.466,0.857,0.229,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2014,7.304,10.775,0.918,72.84,0.939,0.27,0.442,0.833,0.259,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2020,7.025,10.73,0.931,74,0.887,0.05,0.434,0.796,0.307,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2005,7.418,10.652,0.962,71.3,0.957,0.256,0.503,0.839,0.233,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2010,7.651,10.717,0.954,72.2,0.934,0.23,0.413,0.879,0.233,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2007,7.482,10.739,NA,71.66,0.93,0.249,0.406,0.872,0.257,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.824,0.259,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,0.825,0.237,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2015,7.413,10.774,0.939,73,0.931,0.253,0.427,0.845,0.286,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2008,7.486,10.738,0.939,71.84,0.926,0.262,0.37,0.89,0.202,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,North America and ANZ,38156280,https://img.icons8.com/fluency/344/canada-circular.png,https://en.wikipedia.org/wiki/Canada,,,,
Norway,2018,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2013,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2019,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2006,7.416,11.031,0.959,71.32,0.96,0.109,0.397,0.832,0.197,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2016,7.596,11.035,0.96,73,0.954,0.133,0.41,0.85,0.209,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2017,7.511,11.035,0.96,73,0.954,0.133,0.41,0.85,0.209,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2020,7.29,11.042,0.956,73.4,0.965,0.075,0.271,0.823,0.216,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2014,7.42,11.024,0.941,72.68,0.956,0.181,0.405,0.834,0.194,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2015,7.48,11.024,0.941,72.68,0.956,0.181,0.405,0.834,0.194,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2008,7.632,11.042,0.936,71.56,0.947,0.018,0.503,0.792,0.155,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2009,7.642,11.042,0.936,71.56,0.947,0.018,0.503,0.792,0.155,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2010,7.65,11.042,0.936,71.56,0.947,0.018,0.503,0.792,0.155,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2011,7.66,11.042,0.936,71.56,0.947,0.018,0.503,0.792,0.155,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Norway,2012,7.76,11.042,0.936,71.56,0.947,0.018,0.503,0.792,0.155,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.014,0.356,0.797,0.246,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2016,7.041,11.199,0.958,72.1,0.875,0.174,0.399,0.809,0.211,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2019,7.255,11.371,0.944,72.4,0.892,0.074,0.373,0.807,0.223,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2010,7.257,10.879,0.973,71.5,0.856,0.348,0.618,0.876,0.201,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2008,7.568,10.929,0.983,70.82,0.894,0.322,0.487,0.875,0.148,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2015,6.83,11.174,0.953,72,0.892,0.233,0.409,0.799,0.225,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2009,7.046,10.866,0.959,71.16,0.835,0.315,0.58,0.862,0.233,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2018,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2011,7.007,10.878,0.977,71.6,0.952,0.383,0.59,0.865,0.19,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2014,7.018,10.959,0.968,71.9,0.922,0.264,0.406,0.784,0.229,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,0.833,0.213,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2013,6.76,10.884,0.955,71.8,0.884,0.331,0.558,0.814,0.245,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
Ireland,2012,6.965,10.876,0.962,71.7,0.902,0.302,0.573,0.835,0.237,Western Europe,4994632,https://img.icons8.com/fluency/452/ireland-circular.png,https://en.wikipedia.org/wiki/Ireland,,,,
United States of America,2006,7.182,10.924,0.965,68.06,0.911,NA,0.6,0.827,0.261,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2007,7.513,10.933,NA,68.22,0.872,0.197,0.633,0.829,0.232,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
